response_id,config,post_index,true_label,predicted,full_answer,retrieved_chunks,c2_relevant,c2_note,c3_relevant,c3_note,correct,c1,c2,c3,grounding_score
Phase 6: Expand vs Flat-Hybrid Flat (Scoped)-0,Hybrid Flat (Scoped),0,suicidal,suicidal,"Label: suicidal
Evidence: [3] says: ""Dysthymic disorder is differentiated from this common experience by the severity, range and duration of symptoms.""
Justification: The post indicates a suicidal ideation regarding ending one's life by not sleeping until death. The mention of a specific plan (not sleeping until death) and the context of age 13 suggests a risk of suicide. The ICD-11 chunk [3] discusses dysthymic disorder, which is differentiated from normal experiences by severity, range, and duration of symptoms. The post reflects a potential suicidal ideation, which is consistent with the criteria for suicidal behavior.","[1] Depressive episode — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse
---
[2] Prolonged grief disorder — Boundary with Normality: • An individual experiencing a grief reaction that is within a normative period given their cultural and religious context is considered to be experiencing normal bereavement, and should not be assigned a diagnosis of prolonged grief disorder. It is often important to consider whether other people w
---
[3] Dysthymic disorder — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity, range and duration of symptoms. Assessment of the presence or absence of signs or symptoms should b",,,,,1,1,0,0,33.33333333333333
Phase 6: Expand vs Flat-Hybrid Flat (Scoped)-1,Hybrid Flat (Scoped),1,suicidal,suicidal,"Label: suicidal|depression|normal
Evidence: [3] says: ""suicidal ideation (with or without a specific plan), or evidence of attempted suicide""
Justification: The post mentions ""I just feel like a broken forgotten clock damaged collecting dust but still ticking"" and ""I cannot even cry or shout,"" which suggests a sense of hopelessness and despair. The mention of wanting to feel loved and to be in good company, but the inability to do so, along with the statement ""I deserve to be alone and broken,"" indicates a severe depressive state. The presence of suicidal ideation is supported by the text ""I just want to feel happy and to let go of the trauma,"" which aligns with the diagnostic criteria for a depressive episode.","[1] Depressive episode — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this common experience by the severity, range and duration of symptoms. If the diagnostic requirements for a
---
[2] Mixed depressive and anxiety disorder — Essential Features: • The presence of both depressive and anxiety symptoms for most of the time during a period of 2 weeks or more is required for diagnosis. Mood disorders 259 • Depressive symptoms include depressed mood or markedly diminished interest or pleasure in activities. • There are multiple anxiety symptoms, 
---
[3] Depressive episode — Essential Features: suicidal ideation (with or without a specific plan), or evidence of attempted suicide Mood disorders 213 Neurovegetative cluster • Significantly disrupted sleep (delayed sleep onset, increased frequency of waking during the night, or early morning awakening) or excessive sleep • Significant change i
---
[4] Dysthymic disorder — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity, range and duration of symptoms. Assessment of the presence or absence of signs or symptoms should b
---
[5] Dysthymic disorder — Essential Features: since the onset of the disorder. • There is no history of manic, mixed or hypomanic episodes, which would indicate the presence of a bipolar or related disorder. • The symptoms are not a manifestation of another medical condition (e.g. hypothyroidism), and are not due to the effects of a substance o",,,,,1,1,1,1,100.0
Phase 6: Expand vs Flat-Hybrid Flat (Scoped)-2,Hybrid Flat (Scoped),2,suicidal,suicidal,"Label: suicidal|depression
Evidence: [3] says: ""suicidal ideation (with or without a specific plan), or evidence of attempted suicide""
Justification: The post includes suicidal ideation (""I am done... I do not want to appear weak... I am done"") and the mention of ""suicide"" in the context of feeling overwhelmed and unable to find meaning in life, which aligns with the diagnostic criteria for depressive episodes involving suicidal ideation. The presence of persistent depressed mood and a sense of hopelessness further supports the classification.","[1] Dysthymic disorder — Essential Features: • Persistent depressed mood (i.e. lasting 2 years or more), for most of the day, for more days than not, as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance), is required for diagnosis. In children and adolescents depressed mood can manifest as pe
---
[2] Dysthymic disorder — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity, range and duration of symptoms. Assessment of the presence or absence of signs or symptoms should b
---
[3] Depressive episode — Essential Features: suicidal ideation (with or without a specific plan), or evidence of attempted suicide Mood disorders 213 Neurovegetative cluster • Significantly disrupted sleep (delayed sleep onset, increased frequency of waking during the night, or early morning awakening) or excessive sleep • Significant change i
---
[4] Depressive episode — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this common experience by the severity, range and duration of symptoms. If the diagnostic requirements for a
---
[5] Depressive episode — Boundary with Normality: a depressive episode can be superimposed on normal grief. The presence of a depressive episode during a period of bereavement is suggested by persistence of constant depressive symptoms 1 month or more following the loss (i.e. there are no periods of positive mood or enjoyment of activities); severe",,,,,1,1,1,0,66.66666666666666
Phase 6: Expand vs Flat-Hybrid Flat (Scoped)-3,Hybrid Flat (Scoped),3,suicidal,suicidal,"Label: suicidal
Evidence: [2] (Depressive episode — Essential Features) says: ""Hopelessness about the future • Recurrent thoughts of death (not just fear of dying), recurrent suicidal ideation (with or without a specific plan), or evidence of attempted suicide""
Justification: The post mentions ""I hate myself,"" ""my head is so messed up,"" ""moods keep changing like a rollercoaster,"" and ""I go from the happiest person to the most suicidal one in just a couple of hours,"" which aligns with the criteria for a depressive episode involving recurrent suicidal ideation. The evidence from ICD-11 supports the classification of the post as suicidal.","[1] Hypomanic episode — Essential Features: • Both of the following symptoms occur concurrently and persist for most of the day, nearly every day, for at least several days. • Persistent elevation of mood or increased irritability is observable or reported, and represents a significant change from the individual’s usual range of moods (e.g. t
---
[2] Depressive episode — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse
---
[3] Manic episode — Essential Features: • Both of the following features occur concurrently and persist for most of the day, nearly every day, during a period of at least 1 week, unless shortened by a treatment intervention. • An extreme mood state is observable or reported, characterized by euphoria, irritability or expansiveness that re
---
[4] Mixed episode — Essential Features: • Several prominent manic and several prominent depressive symptoms consistent with those observed in manic episodes and depressive episodes are present, which either occur simultaneously or alternate very rapidly (from day to day or within the same day). Symptoms must include an altered mood state 
---
[5] Dysthymic disorder — Essential Features: since the onset of the disorder. • There is no history of manic, mixed or hypomanic episodes, which would indicate the presence of a bipolar or related disorder. • The symptoms are not a manifestation of another medical condition (e.g. hypothyroidism), and are not due to the effects of a substance o",,,,,1,1,1,1,100.0
Phase 6: Expand vs Flat-Hybrid Flat (Scoped)-4,Hybrid Flat (Scoped),4,suicidal,suicidal,"Label: suicidal
Evidence: [3] (Depressive episode — Essential Features) • suicidal ideation (with or without a specific plan), or evidence of attempted suicide
Justification: The post mentions ""I want to die"" and ""I have to many mental illnesses and my life is just slowly going downhill,"" which aligns with the criteria for a depressive episode involving suicidal ideation. The evidence from ICD-11 chunk [3] supports the presence of suicidal ideation, which is a key component of a depressive episode.","[1] Depressive episode — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse
---
[2] Mixed depressive and anxiety disorder — Essential Features: • The presence of both depressive and anxiety symptoms for most of the time during a period of 2 weeks or more is required for diagnosis. Mood disorders 259 • Depressive symptoms include depressed mood or markedly diminished interest or pleasure in activities. • There are multiple anxiety symptoms, 
---
[3] Depressive episode — Essential Features: suicidal ideation (with or without a specific plan), or evidence of attempted suicide Mood disorders 213 Neurovegetative cluster • Significantly disrupted sleep (delayed sleep onset, increased frequency of waking during the night, or early morning awakening) or excessive sleep • Significant change i
---
[4] Dysthymic disorder — Essential Features: since the onset of the disorder. • There is no history of manic, mixed or hypomanic episodes, which would indicate the presence of a bipolar or related disorder. • The symptoms are not a manifestation of another medical condition (e.g. hypothyroidism), and are not due to the effects of a substance o
---
[5] Mixed episode — Essential Features: sexual desire or appetite) and cognitive functioning (e.g. periods of activation and inhibition or slowing of thoughts, attention and memory). • The symptoms are not a manifestation of another medical condition (e.g. a brain tumour), and are not due to the effects of a substance or medication on the",,,,,1,1,1,1,100.0
Phase 6: Expand vs Flat-Hybrid Flat (Scoped)-5,Hybrid Flat (Scoped),5,suicidal,suicidal,"Label: suicidal
Evidence: [2] says: ""Recurrent suicidal ideation (with or without a specific plan), or evidence of attempted suicide""
Justification: The post expresses recurrent suicidal ideation with a specific plan (""I just want to end my life but I am very afraid to"") and evidence of attempted suicide (""I just hate my life""). This aligns with the diagnostic criteria for suicidal ideation, which is a key component of the depressive episode.","[1] Dysthymic disorder — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity, range and duration of symptoms. Assessment of the presence or absence of signs or symptoms should b
---
[2] Depressive episode — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse
---
[3] Mixed depressive and anxiety disorder — Essential Features: • The presence of both depressive and anxiety symptoms for most of the time during a period of 2 weeks or more is required for diagnosis. Mood disorders 259 • Depressive symptoms include depressed mood or markedly diminished interest or pleasure in activities. • There are multiple anxiety symptoms, 
---
[4] Dysthymic disorder — Essential Features: since the onset of the disorder. • There is no history of manic, mixed or hypomanic episodes, which would indicate the presence of a bipolar or related disorder. • The symptoms are not a manifestation of another medical condition (e.g. hypothyroidism), and are not due to the effects of a substance o
---
[5] Other specified mood disorder — Essential Features: The presentation is characterized by mood symptoms that cannot clearly be described as bipolar or depressive in nature (e.g. marked and persistent irritability in the absence of other clear manic or depressive symptoms). • The symptoms do not fulfil the diagnostic requirements for any other disorder",,,,,1,1,1,1,100.0
Phase 6: Expand vs Flat-Hybrid Flat (Scoped)-6,Hybrid Flat (Scoped),6,suicidal,suicidal,"Label: suicidal
Evidence: [1] (Depressive episode — Essential Features) says: ""Recurrent thoughts of death (not just fear of dying), recurrent suicidal ideation (with or without a specific plan), or evidence of attempted suicide""
Justification: The post mentions ""I want to ODI want to take all of my meds and not die but be hospitalized"" and ""I've overdosed twice before, once very badly."" These statements indicate a risk of suicide, as the individual is contemplating taking medications to avoid death but is hesitant due to potential medication restrictions. The mention of ""not die but be hospitalized"" further supports the classification as suicidal.","[1] Depressive episode — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse
---
[2] Hypomanic episode — Essential Features: • Both of the following symptoms occur concurrently and persist for most of the day, nearly every day, for at least several days. • Persistent elevation of mood or increased irritability is observable or reported, and represents a significant change from the individual’s usual range of moods (e.g. t
---
[3] Manic episode — Essential Features: • Both of the following features occur concurrently and persist for most of the day, nearly every day, during a period of at least 1 week, unless shortened by a treatment intervention. • An extreme mood state is observable or reported, characterized by euphoria, irritability or expansiveness that re
---
[4] Mixed depressive and anxiety disorder — Essential Features: • The presence of both depressive and anxiety symptoms for most of the time during a period of 2 weeks or more is required for diagnosis. Mood disorders 259 • Depressive symptoms include depressed mood or markedly diminished interest or pleasure in activities. • There are multiple anxiety symptoms, 
---
[5] Cyclothymic disorder — Essential Features: • Mood instability over an extended period of time (i.e. 2 years or more) characterized by numerous hypomanic and depressive periods is required for diagnosis. (In children and adolescents depressed mood can manifest as pervasive irritability.) Hypomanic periods may or may not have been sufficiently",,,,,1,1,1,1,100.0
Phase 6: Expand vs Flat-Hybrid Flat (Scoped)-7,Hybrid Flat (Scoped),7,suicidal,normal,"Label: normal
Evidence: [3] says: ""Significantly disrupted sleep (delayed sleep onset, increased frequency of waking during the night, or early morning awakening) or excessive sleep • Significant change in appetite (diminished or increased) or significant weight change (gain or loss) • Psychomotor agitation or retardation (observable by others, not merely subjective feelings of restlessness or being slowed down) • Reduced energy, fatigue or marked tiredness following the expenditure of only a minimum of effort""
Justification: The post mentions difficulty in coping and a sense of burden, but does not contain specific indicators of depression, suicidal ideation, or other mental health symptoms that would meet the diagnostic criteria for a mental disorder. The text is vague and does not provide enough evidence to classify the post as a mental health disorder.","[1] Adjustment disorder — Essential Features: • A maladaptive reaction to an identifiable psychosocial stressor or multiple stressors (e.g. single stressful event, ongoing psychosocial difficulty or a combination of stressful life situations) that usually emerges within a month of the stressor is required for diagnosis. Examples include divorce
---
[2] Mixed depressive and anxiety disorder — Essential Features: • The presence of both depressive and anxiety symptoms for most of the time during a period of 2 weeks or more is required for diagnosis. Mood disorders 259 • Depressive symptoms include depressed mood or markedly diminished interest or pleasure in activities. • There are multiple anxiety symptoms, 
---
[3] Depressive episode — Essential Features: suicidal ideation (with or without a specific plan), or evidence of attempted suicide Mood disorders 213 Neurovegetative cluster • Significantly disrupted sleep (delayed sleep onset, increased frequency of waking during the night, or early morning awakening) or excessive sleep • Significant change i
---
[4] Prolonged grief disorder — Essential Features: • A history of bereavement following the death of a partner, parent, child or other person close to the bereaved is required for diagnosis. Disorders specifically associated with stress | Prolonged grief disorder Disorders specifically associated with stress 349 • A persistent and pervasive grief re
---
[5] Dysthymic disorder — Essential Features: since the onset of the disorder. • There is no history of manic, mixed or hypomanic episodes, which would indicate the presence of a bipolar or related disorder. • The symptoms are not a manifestation of another medical condition (e.g. hypothyroidism), and are not due to the effects of a substance o",,,,,0,1,1,0,66.66666666666666
Phase 6: Expand vs Flat-Hybrid Flat (Scoped)-8,Hybrid Flat (Scoped),8,suicidal,suicidal,"Label: suicidal
Evidence: [1] says: ""Recurrent suicidal ideation (with or without a specific plan), or evidence of attempted suicide""
Justification: The post mentions a plan involving suicide pill roulette, where one pill is a DIY extracted cyanide capsule and the others are sugar. This indicates a clear intention to take a lethal substance, which aligns with the ICD-11 criterion for recurrent suicidal ideation with a specific plan.","[1] Depressive episode — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse
---
[2] Dysthymic disorder — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity, range and duration of symptoms. Assessment of the presence or absence of signs or symptoms should b",,,,,1,1,1,1,100.0
Phase 6: Expand vs Flat-Hybrid Flat (Scoped)-9,Hybrid Flat (Scoped),9,suicidal,normal,"Label: normal  
Evidence: [1] says: ""Persistent depressed mood (i.e. lasting 2 years or more), for most of the day, for more days than not, as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance), is required for diagnosis. In children and adolescents depressed mood can manifest as pervasive irritability.""  
Justification: The post does not indicate any depressive symptoms or persistent mood disturbance. The statement ""damn :/ it be like that sometimes"" is a general expression of frustration but does not meet the criteria for a diagnosable mental health condition based on the provided ICD-11 chunks.","[1] Dysthymic disorder — Essential Features: • Persistent depressed mood (i.e. lasting 2 years or more), for most of the day, for more days than not, as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance), is required for diagnosis. In children and adolescents depressed mood can manifest as pe
---
[2] Cyclothymic disorder — Essential Features: • Mood instability over an extended period of time (i.e. 2 years or more) characterized by numerous hypomanic and depressive periods is required for diagnosis. (In children and adolescents depressed mood can manifest as pervasive irritability.) Hypomanic periods may or may not have been sufficiently
---
[3] Hypomanic episode — Essential Features: • Both of the following symptoms occur concurrently and persist for most of the day, nearly every day, for at least several days. • Persistent elevation of mood or increased irritability is observable or reported, and represents a significant change from the individual’s usual range of moods (e.g. t
---
[4] Dysthymic disorder — Essential Features: since the onset of the disorder. • There is no history of manic, mixed or hypomanic episodes, which would indicate the presence of a bipolar or related disorder. • The symptoms are not a manifestation of another medical condition (e.g. hypothyroidism), and are not due to the effects of a substance o
---
[5] Cyclothymic disorder — Boundary with Normality: • Cyclothymic disorder is distinguished from normal variations in mood by a history of distress or difficulty functioning due to repeated occurrences of mood disturbance.",,,,,0,1,1,1,100.0
