response_id,config,post_index,true_label,predicted,full_answer,retrieved_chunks,c2_relevant,c2_note,c3_relevant,c3_note
Phase8-NoRAG-0,No-RAG (fair),0,suicidal,suicidal,"Label: suicidal  
Justification: The post contains a clear indication of suicidal ideation, including the mention of ending it all, the desire to not sleep until death, and the specific request to kill oneself at age 13 without a gun. The language used is indicative of severe mental health distress and a risk of self-harm.",(no retrieval),,,,
Phase8-NoRAG-1,No-RAG (fair),1,suicidal,suicidal,"Label: suicidal  
Justification: The post contains expressions of profound loneliness, despair, and a sense of hopelessness, with a strong emphasis on feeling broken, unwanted, and deserving of solitude. The individual expresses a desire to be alone and broken, and there is a clear indication of self-harm or suicide as a possible outcome.",(no retrieval),,,,
Phase8-NoRAG-2,No-RAG (fair),2,suicidal,suicidal,"Label: suicidal
Justification: The post expresses deep despair, feelings of hopelessness, and a sense of being trapped by societal pressures and lack of support. The speaker is overwhelmed by the idea of leaving gracefully and feels disconnected from others, which are all indicators of suicidal ideation.",(no retrieval),,,,
Phase8-NoRAG-3,No-RAG (fair),3,suicidal,suicidal,"Label: suicidal  
Justification: The post expresses deep feelings of despair, self-hatred, and a sense of hopelessness, indicating a risk of suicide. The mention of wanting everything to end and the emotional turmoil further support this classification.",(no retrieval),,,,
Phase8-NoRAG-4,No-RAG (fair),4,suicidal,suicidal,"Label: suicidal  
Justification: The post expresses a severe emotional state, mentions a desire to ""die,"" and indicates a sense of hopelessness and multiple mental health struggles, which are consistent with suicidal ideation.",(no retrieval),,,,
Phase8-NoRAG-5,No-RAG (fair),5,suicidal,suicidal,"Label: suicidal  
Justification: The post expresses a strong sense of despair, frustration, and a desire to end one's life, despite a fear of doing so. The language used is intense and indicative of suicidal thoughts.",(no retrieval),,,,
Phase8-NoRAG-6,No-RAG (fair),6,suicidal,suicidal,"Label: suicidal  
Justification: The post expresses a severe emotional distress, mentions a history of overdose, and includes a clear intent to harm oneself (taking all medications and not dying but being hospitalized). The mention of hesitancy due to medication restrictions indicates a risk of self-harm.",(no retrieval),,,,
Phase8-NoRAG-7,No-RAG (fair),7,suicidal,suicidal,"Label: suicidal  
Justification: The post expresses uncertainty about ability to handle something, mentions ""getting harder and harder,"" and contains a tone suggesting distress, which may indicate suicidal thoughts.",(no retrieval),,,,
Phase8-NoRAG-8,No-RAG (fair),8,suicidal,suicidal,"Label: suicidal  
Justification: The post describes a plan involving a suicide pill roulette where a cyanide capsule is mixed with sugar, implying a deliberate and dangerous attempt to end one's life. The mention of ""death placebo"" and the intent to ""go as peacefully as possible"" indicates a serious risk of suicide.",(no retrieval),,,,
Phase8-NoRAG-9,No-RAG (fair),9,suicidal,normal,"Label: normal  
Justification: The post is a casual expression of frustration or disappointment, without any indication of suicidal ideation or depression. The user is reflecting on a personal experience but does not express any distressing or self-harm-related content.",(no retrieval),,,,
Phase8-NoRAG-10,No-RAG (fair),10,depression,suicidal,"Label: suicidal  
Justification: The post expresses severe emotional distress, feelings of being trapped, constant stress, and a desire to ""melt away,"" which are indicative of suicidal ideation. The mention of wanting to ""kind of melt away at this point"" and the context of depression and borderline traits further support the classification.",(no retrieval),,,,
Phase8-NoRAG-11,No-RAG (fair),11,depression,suicidal,"Label: suicidal  
Justification: The post expresses severe emotional distress, self-reflection, and a sense of despair, with the mention of suicide as a last resort. The tone suggests a critical point of despair and a desire to end the situation, which aligns with the label ""suicidal.""",(no retrieval),,,,
