response_id,config,post_index,true_label,predicted,full_answer,retrieved_chunks,c2_relevant,c2_note,c3_relevant,c3_note,correct,c1,c2,c3,grounding_score
Phase 7: k-Value Check-k=3 Expand-0,k=3 Expand,0,suicidal,suicidal,"Label: suicidal
Evidence: [3] (Depressive episode — Essential Features) • Suicidal ideation (with or without a specific plan), or evidence of attempted suicide
Justification: The post mentions ""I was thinking of ending it all"" and ""how can I kill myself at age 13 without a gun,"" which indicates suicidal ideation. The ICD-11 chunk [3] states that suicidal ideation with or without a specific plan, or evidence of attempted suicide, is a key criterion for a depressive episode. The mention of a specific plan and the context of a suicide attempt aligns with the diagnostic criteria for suicidal ideation.","[1] Depressive episode — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse
---
[2] Depressive episode — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this common experience by the severity, range and duration of symptoms. If the diagnostic requirements for a
---
[3] Depressive episode — Essential Features: suicidal ideation (with or without a specific plan), or evidence of attempted suicide Mood disorders 213 Neurovegetative cluster • Significantly disrupted sleep (delayed sleep onset, increased frequency of waking during the night, or early morning awakening) or excessive sleep • Significant change i",,,,,1,1,1,1,100.0
Phase 7: k-Value Check-k=3 Expand-1,k=3 Expand,1,suicidal,depression,"Label: depressive
Evidence: [2] says: ""The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present.""
Justification: The post expresses intense feelings of isolation, hopelessness, and despair, along with persistent anxiety and depressive thoughts. These symptoms align with the essential features of a depressive episode, as described in the ICD-11 chunk. The individual is experiencing a prolonged period of depressive symptoms, which meets the diagnostic criteria for a depressive episode.","[1] Depressive episode — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this common experience by the severity, range and duration of symptoms. If the diagnostic requirements for a
---
[2] Depressive episode — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse
---
[3] Dysthymic disorder — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity, range and duration of symptoms. Assessment of the presence or absence of signs or symptoms should b",,,,,0,1,1,0,66.66666666666666
Phase 7: k-Value Check-k=3 Expand-2,k=3 Expand,2,suicidal,suicidal,"Label: suicidal
Evidence: [3] (Depressive episode — Boundary with Normality) says: ""A depressive episode should not be considered to be present if the individual is exhibiting normal grief symptoms, including some level of depressive symptoms, and the individual has experienced the death of a loved one within the past 6 months, or longer if a more extended period of bereavement is consistent with the normative response for grieving within the individual’s religious and cultural context.""
Justification: The post expresses a sense of hopelessness, despair, and a lack of motivation, which are consistent with a depressive episode. The individual is describing a profound sense of emptiness and a lack of connection, which aligns with the criteria for a depressive episode. The mention of societal pressures and the desire to ""leave gracefully"" suggests a deep sense of hopelessness and a lack of purpose, which are also consistent with a depressive episode. The post does not indicate a suicidal intent, but the severity of the emotional state and the persistent sense of hopelessness suggest a risk of suicide.","[1] Dysthymic disorder — Essential Features: • Persistent depressed mood (i.e. lasting 2 years or more), for most of the day, for more days than not, as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance), is required for diagnosis. In children and adolescents depressed mood can manifest as pe
---
[2] Dysthymic disorder — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity, range and duration of symptoms. Assessment of the presence or absence of signs or symptoms should b
---
[3] Depressive episode — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this common experience by the severity, range and duration of symptoms. If the diagnostic requirements for a",,,,,1,1,0,0,33.33333333333333
Phase 7: k-Value Check-k=3 Expand-3,k=3 Expand,3,suicidal,suicidal,"Label: suicidal
Evidence: [3] says: ""Recurrent thoughts of death (not just fear of dying), recurrent suicidal ideation (with or without a specific plan), or evidence of attempted suicide Mood disorders 213""
Justification: The post mentions ""I hate myself,"" ""my head is so messed up,"" ""moods keep changing like a rollercoaster,"" ""go from the happiest person to the most suicidal one in just a couple of hours,"" and ""I want everything to end."" These statements indicate recurrent suicidal ideation and a desire to end one's life, which aligns with the ICD-11 criteria for suicidal behavior.","[1] Hypomanic episode — Essential Features: • Both of the following symptoms occur concurrently and persist for most of the day, nearly every day, for at least several days. • Persistent elevation of mood or increased irritability is observable or reported, and represents a significant change from the individual’s usual range of moods (e.g. t
---
[2] Hypomanic episode — Boundary with Normality: • Hypomanic episodes are often difficult to distinguish from normal periods of elevated mood – for example, related to positive life events – particularly given that hypomanic episodes are not associated with significant functional impairment. In order to be considered a hypomanic episode, the sympt
---
[3] Depressive episode — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse",,,,,1,1,1,1,100.0
Phase 7: k-Value Check-k=3 Expand-4,k=3 Expand,4,suicidal,suicidal,"Label: suicidal
Evidence: [1] says: ""Recurrent suicidal ideation (with or without a specific plan), or evidence of attempted suicide""
Justification: The post mentions ""I want to die"" and ""I have to many mental illnesses and my life is just slowly going downhill,"" which aligns with the ICD-11 criterion for recurrent suicidal ideation with or without a specific plan.","[1] Depressive episode — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse
---
[2] Depressive episode — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this common experience by the severity, range and duration of symptoms. If the diagnostic requirements for a
---
[3] Manic episode — Essential Features: their skill level, or that they are about to become famous – in psychotic presentations of mania, this may be manifested in grandiose delusions); • decreased need for sleep (e.g. the person reports being able to function with only 2 or 3 hours of sleep), as distinct from insomnia, in which an indivi",,,,,1,1,1,1,100.0
Phase 7: k-Value Check-k=3 Expand-5,k=3 Expand,5,suicidal,suicidal,"Label: suicidal
Evidence: [2] says: ""Recurrent thoughts of death (not just fear of dying), recurrent suicidal ideation (with or without a specific plan), or evidence of attempted suicide Mood disorders 213 Neurovegetative cluster • Significantly disrupted sleep (delayed sleep onset, increased frequency of waking during the night, or early morning""
Justification: The post expresses recurrent thoughts of death and recurrent suicidal ideation with a specific plan, which aligns with the diagnostic criteria for a depressive episode or suicidal behavior. The mention of being bullied and yelled at, along with the desire to end one's life, supports the classification as suicidal.","[1] Dysthymic disorder — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity, range and duration of symptoms. Assessment of the presence or absence of signs or symptoms should b
---
[2] Dysthymic disorder — Essential Features: • Persistent depressed mood (i.e. lasting 2 years or more), for most of the day, for more days than not, as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance), is required for diagnosis. In children and adolescents depressed mood can manifest as pe
---
[3] Depressive episode — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse",,,,,1,1,0,0,33.33333333333333
Phase 7: k-Value Check-k=3 Expand-6,k=3 Expand,6,suicidal,suicidal,"Label: suicidal
Evidence: [1] says: ""Recurrent suicidal ideation (with or without a specific plan), or evidence of attempted suicide""
Justification: The post mentions ""I want to ODI want to take all of my meds and not die but be hospitalized"" and ""I've overdosed twice before, once very badly."" These statements indicate a risk of suicide, as the individual is expressing a desire to take medications and avoid death, while also showing a history of overdose. The mention of ""not die but be hospitalized"" further supports the classification as suicidal.","[1] Depressive episode — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse
---
[2] Depressive episode — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this common experience by the severity, range and duration of symptoms. If the diagnostic requirements for a
---
[3] Hypomanic episode — Essential Features: from one idea to the next; the person reports that their thoughts are rapid or even racing and has difficulty remaining on a topic); • increased self-esteem or grandiosity (e.g. the individual is more self-confident than usual); • decreased need for sleep (e.g. the person reports needing less sleep ",,,,,1,1,1,1,100.0
Phase 7: k-Value Check-k=3 Expand-7,k=3 Expand,7,suicidal,suicidal,"Label: suicidal
Evidence: [3] says: ""The symptoms are not a manifestation of another medical condition (e.g. hypothyroidism, hyperthyroidism), and are not due to the effects of a substance or medication on the central nervous system, including withdrawal effects (e.g. from alcohol, benzodiazepines).""
Justification: The post expresses a sense of helplessness and uncertainty about the future, which aligns with the criteria for suicidal ideation. The statement ""Not sure if Ill be able to take it Its getting harder and harder"" reflects a deteriorating emotional state and a sense of hopelessness, which are consistent with the diagnostic criteria for suicidal ideation.","[1] Adjustment disorder — Essential Features: • A maladaptive reaction to an identifiable psychosocial stressor or multiple stressors (e.g. single stressful event, ongoing psychosocial difficulty or a combination of stressful life situations) that usually emerges within a month of the stressor is required for diagnosis. Examples include divorce
---
[2] Adjustment disorder — Boundary with Normality: • Adjustment disorder represents a maladaptive reaction and failure to adapt to a stressor that is associated with significant preoccupation, and results in significant impairment in personal, family, social, educational, occupational or other important areas of functioning. Emotional reactions to n
---
[3] Mixed depressive and anxiety disorder — Essential Features: • The presence of both depressive and anxiety symptoms for most of the time during a period of 2 weeks or more is required for diagnosis. Mood disorders 259 • Depressive symptoms include depressed mood or markedly diminished interest or pleasure in activities. • There are multiple anxiety symptoms, ",,,,,1,1,0,0,33.33333333333333
Phase 7: k-Value Check-k=3 Expand-8,k=3 Expand,8,suicidal,suicidal,"Label: suicidal
Evidence: [3] (Depressive episode — Essential Features) says: ""suicidal ideation (with or without a specific plan), or evidence of attempted suicide""
Justification: The post mentions a plan involving the use of a suicide pill, specifically a DIY extracted cyanide capsule, which indicates suicidal ideation with a specific plan. This aligns with the ICD-11 criteria for a suicidal episode, as it demonstrates a clear intent to take a lethal substance.","[1] Depressive episode — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse
---
[2] Depressive episode — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this common experience by the severity, range and duration of symptoms. If the diagnostic requirements for a
---
[3] Depressive episode — Essential Features: suicidal ideation (with or without a specific plan), or evidence of attempted suicide Mood disorders 213 Neurovegetative cluster • Significantly disrupted sleep (delayed sleep onset, increased frequency of waking during the night, or early morning awakening) or excessive sleep • Significant change i",,,,,1,1,1,1,100.0
Phase 7: k-Value Check-k=3 Expand-9,k=3 Expand,9,suicidal,normal,"Label: normal
Evidence: [1] says: ""Persistent depressed mood... is required for diagnosis. In children and adolescents depressed mood can manifest as pervasive irritability.""
Justification: The post does not indicate any depressive symptoms or suicidal ideation. The statement ""damn :/ it be like that sometimes"" is a general expression of frustration without any mention of depression, sadness, or suicidal thoughts. The language used is neutral and does not meet the criteria for a depressive episode or suicidal ideation as per the ICD-11 chunks.","[1] Dysthymic disorder — Essential Features: • Persistent depressed mood (i.e. lasting 2 years or more), for most of the day, for more days than not, as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance), is required for diagnosis. In children and adolescents depressed mood can manifest as pe
---
[2] Dysthymic disorder — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity, range and duration of symptoms. Assessment of the presence or absence of signs or symptoms should b
---
[3] Depressive episode — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse",,,,,0,1,1,1,100.0
