response_id,config,post_index,true_label,predicted,full_answer,retrieved_chunks,c2_relevant,c2_note,c3_relevant,c3_note
Phase 3: Few-shot-Few-shot-0,Few-shot,0,suicidal,normal,"Label: normal  
Evidence: ICD-11 chunk [3] says: ""Persistent depressed mood (i.e. lasting 2 years or more), for most of the day, for more days than not, as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance), is required for diagnosis.""  
Justification: The post describes a person who is contemplating ending their life but does not explicitly state any suicidal ideation or plan. The mention of ""ending it all"" and ""not sleeping until I just die"" suggests a depressive state, but the post does not meet the diagnostic criteria for a depressive episode (e.g., no history of 2 years of persistent depressed mood, no symptom-free intervals, etc.). The label is ""normal"" because the post does not meet the diagnostic criteria for depression or suicidal ideation as per ICD-11.","[1] Mood disorder, unspecified — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse
---
[2] Dysthymic disorder — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity, range and duration of symptoms. Assessment of the presence or absence of signs or symptoms should b
---
[3] Dysthymic disorder — Essential Features: • Persistent depressed mood (i.e. lasting 2 years or more), for most of the day, for more days than not, as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance), is required for diagnosis. In children and adolescents depressed mood can manifest as pe
---
[4] Mood disorder, unspecified — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this common experience by the severity, range and duration of symptoms. If the diagnostic requirements for a",,,,
Phase 3: Few-shot-Few-shot-1,Few-shot,1,suicidal,suicidal,"Label: suicidal  
Evidence: ICD-11 chunk [1] says: ""suicidal ideation (with or without a specific plan), or evidence of attempted suicide""  
Justification: The post contains explicit mention of wanting to ""end it all"" and ""feel safe and happy but I worry too much and I am too afraid of being alone and abandoned by the only person I love."" These statements indicate suicidal ideation, which is consistent with ICD-11 chunk [1], which includes suicidal ideation as a key feature of mood disorders.","[1] Mood disorder, unspecified — Essential Features: suicidal ideation (with or without a specific plan), or evidence of attempted suicide Mood disorders 213 Neurovegetative cluster • Significantly disrupted sleep (delayed sleep onset, increased frequency of waking during the night, or early morning awakening) or excessive sleep • Significant change i
---
[2] Dysthymic disorder — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity, range and duration of symptoms. Assessment of the presence or absence of signs or symptoms should b
---
[3] Dysthymic disorder — Essential Features: • Persistent depressed mood (i.e. lasting 2 years or more), for most of the day, for more days than not, as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance), is required for diagnosis. In children and adolescents depressed mood can manifest as pe
---
[4] Mood disorder, unspecified — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this common experience by the severity, range and duration of symptoms. If the diagnostic requirements for a
---
[5] Mixed depressive and anxiety disorder — Essential Features: • The presence of both depressive and anxiety symptoms for most of the time during a period of 2 weeks or more is required for diagnosis. Mood disorders 259 • Depressive symptoms include depressed mood or markedly diminished interest or pleasure in activities. • There are multiple anxiety symptoms, ",,,,
Phase 3: Few-shot-Few-shot-2,Few-shot,2,suicidal,suicidal,"Label: suicidal  
Evidence: ICD-11 chunk [1] says: ""suicidal ideation (with or without a specific plan), or evidence of attempted suicide""  
Justification: The post contains explicit expressions of despair, a sense of hopelessness, and a desire to ""end me"" repeatedly. These align with the diagnostic criteria for suicidal ideation, as outlined in ICD-11 chunk [1], which includes ""suicidal ideation (with or without a specific plan), or evidence of attempted suicide.""","[1] Mood disorder, unspecified — Essential Features: suicidal ideation (with or without a specific plan), or evidence of attempted suicide Mood disorders 213 Neurovegetative cluster • Significantly disrupted sleep (delayed sleep onset, increased frequency of waking during the night, or early morning awakening) or excessive sleep • Significant change i
---
[2] Dysthymic disorder — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity, range and duration of symptoms. Assessment of the presence or absence of signs or symptoms should b
---
[3] Dysthymic disorder — Essential Features: • Persistent depressed mood (i.e. lasting 2 years or more), for most of the day, for more days than not, as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance), is required for diagnosis. In children and adolescents depressed mood can manifest as pe
---
[4] Mood disorder, unspecified — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this common experience by the severity, range and duration of symptoms. If the diagnostic requirements for a
---
[5] Recurrent depressive disorder — Essential Features: • A history of at least two depressive episodes (see above essential features), which may include a current episode, separated by several months without significant mood disturbance is required for diagnosis. • There is no history of manic, mixed or hypomanic episodes, which would indicate the prese",,,,
Phase 3: Few-shot-Few-shot-3,Few-shot,3,suicidal,depression,"Label: depression  
Evidence: ICD-11 chunk [1] says: ""The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present.""  
Justification: The post describes a severe emotional state with fluctuating moods, suicidal ideation, and a sense of hopelessness, which aligns with the diagnostic criteria for depression. The mention of ""I hate myself"" and ""my head is so messed up"" supports the presence of depressive symptoms, including mood instability and suicidal ideation.","[1] Mood disorder, unspecified — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse
---
[2] Dysthymic disorder — Essential Features: since the onset of the disorder. • There is no history of manic, mixed or hypomanic episodes, which would indicate the presence of a bipolar or related disorder. • The symptoms are not a manifestation of another medical condition (e.g. hypothyroidism), and are not due to the effects of a substance o
---
[3] Dysthymic disorder — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity, range and duration of symptoms. Assessment of the presence or absence of signs or symptoms should b
---
[4] Cyclothymic disorder — Essential Features: • Mood instability over an extended period of time (i.e. 2 years or more) characterized by numerous hypomanic and depressive periods is required for diagnosis. (In children and adolescents depressed mood can manifest as pervasive irritability.) Hypomanic periods may or may not have been sufficiently
---
[5] Cyclothymic disorder — Boundary with Normality: • Cyclothymic disorder is distinguished from normal variations in mood by a history of distress or di&culty functioning due to repeated occurrences of mood disturbance.",,,,
Phase 3: Few-shot-Few-shot-4,Few-shot,4,suicidal,suicidal,"Label: suicidal  
Evidence: ICD-11 chunk [1] says: ""The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or absence of symptoms should be made relative to typical functioning of the individual. Affective cluster • Depressed mood as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance) (Note: in children and adolescents depressed mood can manifest as irritability.) • Markedly diminished interest or pleasure in activities, especially those normally found to be enjoyable to the individual (Note: this may include a reduction in sexual desire.) Cognitive-behavioural cluster • Reduced ability to concentrate and sustain attention on tasks, or marked indecisiveness • Beliefs of low self-worth or excessive and inappropriate guilt that may be manifestly delusional (Note: this item should not be considered present if guilt or self-reproach is exclusively about being depressed.) • Hopelessness about the future • Recurrent thoughts of death (not just fear of dying), recurrent suicidal ideation (with or without a specific plan), or evidence of attempted suicide""  
Justification: The post contains recurrent thoughts of death, recurrent suicidal ideation, and a clear indication of a desire to end one's life, which aligns with the ICD-11 criteria for suicidal ideation.","[1] Mood disorder, unspecified — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse
---
[2] Mixed depressive and anxiety disorder — Essential Features: • The presence of both depressive and anxiety symptoms for most of the time during a period of 2 weeks or more is required for diagnosis. Mood disorders 259 • Depressive symptoms include depressed mood or markedly diminished interest or pleasure in activities. • There are multiple anxiety symptoms, 
---
[3] Mixed depressive and anxiety disorder — Boundary with Normality: • If worry is the only anxiety symptom (i.e. no sympathetic autonomic or other anxiety symptoms are present), a diagnosis of mixed depressive and anxiety disorder diagnosis is not appropriate.
---
[4] Dysthymic disorder — Essential Features: since the onset of the disorder. • There is no history of manic, mixed or hypomanic episodes, which would indicate the presence of a bipolar or related disorder. • The symptoms are not a manifestation of another medical condition (e.g. hypothyroidism), and are not due to the effects of a substance o
---
[5] Dysthymic disorder — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity, range and duration of symptoms. Assessment of the presence or absence of signs or symptoms should b",,,,
Phase 3: Few-shot-Few-shot-5,Few-shot,5,suicidal,normal,"Label: normal  
Evidence: ICD-11 chunk [4] says: ""Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity, range and duration of symptoms.""  
Justification: The post expresses a negative sentiment about life but does not indicate a persistent depressed mood or significant impairment in functioning. The individual acknowledges the difficulty but also expresses a desire to ""end their life"" and ""hate their life,"" which suggests a temporary emotional distress rather than a chronic depressive disorder. The statement is not indicative of a severe mental health condition that meets the diagnostic criteria for dysthymic disorder or other mood disorders.","[1] Mood disorder, unspecified — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse
---
[2] Mixed depressive and anxiety disorder — Essential Features: • The presence of both depressive and anxiety symptoms for most of the time during a period of 2 weeks or more is required for diagnosis. Mood disorders 259 • Depressive symptoms include depressed mood or markedly diminished interest or pleasure in activities. • There are multiple anxiety symptoms, 
---
[3] Mixed depressive and anxiety disorder — Boundary with Normality: • If worry is the only anxiety symptom (i.e. no sympathetic autonomic or other anxiety symptoms are present), a diagnosis of mixed depressive and anxiety disorder diagnosis is not appropriate.
---
[4] Dysthymic disorder — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity, range and duration of symptoms. Assessment of the presence or absence of signs or symptoms should b
---
[5] Dysthymic disorder — Essential Features: • Persistent depressed mood (i.e. lasting 2 years or more), for most of the day, for more days than not, as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance), is required for diagnosis. In children and adolescents depressed mood can manifest as pe",,,,
Phase 3: Few-shot-Few-shot-6,Few-shot,6,suicidal,normal,"Label: normal  
Evidence: ICD-11 chunk [1] says: ""The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present.""  
Justification: The post does not indicate any symptoms of depression, anxiety, or suicidal ideation. The user is expressing a desire to take medications and is hesitant due to potential restrictions, but there is no mention of severe emotional distress, hopelessness, or a clear indication of a mood disorder. The language is neutral and does not meet the criteria for a mood disorder diagnosis.","[1] Mood disorder, unspecified — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse
---
[2] Mixed depressive and anxiety disorder — Essential Features: • The presence of both depressive and anxiety symptoms for most of the time during a period of 2 weeks or more is required for diagnosis. Mood disorders 259 • Depressive symptoms include depressed mood or markedly diminished interest or pleasure in activities. • There are multiple anxiety symptoms, 
---
[3] Mixed depressive and anxiety disorder — Boundary with Normality: • If worry is the only anxiety symptom (i.e. no sympathetic autonomic or other anxiety symptoms are present), a diagnosis of mixed depressive and anxiety disorder diagnosis is not appropriate.
---
[4] Cyclothymic disorder — Essential Features: • Mood instability over an extended period of time (i.e. 2 years or more) characterized by numerous hypomanic and depressive periods is required for diagnosis. (In children and adolescents depressed mood can manifest as pervasive irritability.) Hypomanic periods may or may not have been sufficiently
---
[5] Cyclothymic disorder — Boundary with Normality: • Cyclothymic disorder is distinguished from normal variations in mood by a history of distress or di&culty functioning due to repeated occurrences of mood disturbance.",,,,
Phase 3: Few-shot-Few-shot-7,Few-shot,7,suicidal,normal,"Label: normal  
Evidence: ICD-11 chunk [3] says: ""Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity, range and duration of symptoms. Assessment of the presence or absence of signs or symptoms should be made relative to typical functioning of the individual.""  
Justification: The post expresses a sense of uncertainty and difficulty but does not contain any specific indicators of suicidal ideation, significant impairment, or a marked change in mood or behavior that would meet the diagnostic criteria for dysthymic disorder or other mood disorders. The language is reflective and does not suggest a clinical risk.","[1] Mood disorder, unspecified — Essential Features: suicidal ideation (with or without a specific plan), or evidence of attempted suicide Mood disorders 213 Neurovegetative cluster • Significantly disrupted sleep (delayed sleep onset, increased frequency of waking during the night, or early morning awakening) or excessive sleep • Significant change i
---
[2] Dysthymic disorder — Essential Features: since the onset of the disorder. • There is no history of manic, mixed or hypomanic episodes, which would indicate the presence of a bipolar or related disorder. • The symptoms are not a manifestation of another medical condition (e.g. hypothyroidism), and are not due to the effects of a substance o
---
[3] Dysthymic disorder — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity, range and duration of symptoms. Assessment of the presence or absence of signs or symptoms should b
---
[4] Mixed depressive and anxiety disorder — Essential Features: • The presence of both depressive and anxiety symptoms for most of the time during a period of 2 weeks or more is required for diagnosis. Mood disorders 259 • Depressive symptoms include depressed mood or markedly diminished interest or pleasure in activities. • There are multiple anxiety symptoms, 
---
[5] Mixed depressive and anxiety disorder — Boundary with Normality: • If worry is the only anxiety symptom (i.e. no sympathetic autonomic or other anxiety symptoms are present), a diagnosis of mixed depressive and anxiety disorder diagnosis is not appropriate.",,,,
Phase 3: Few-shot-Few-shot-8,Few-shot,8,suicidal,suicidal,"Label: suicidal  
Evidence: ICD-11 chunk [1] says: ""Recurrent suicidal ideation (with or without a specific plan), or evidence of attempted suicide""  
Justification: The post mentions ""suicide pill roulette"" with a plan involving a cyanide capsule and sugar pills, indicating recurrent suicidal ideation with a specific plan, which aligns with the ICD-11 criteria for suicidal ideation.","[1] Mood disorder, unspecified — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse
---
[2] Dysthymic disorder — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity, range and duration of symptoms. Assessment of the presence or absence of signs or symptoms should b
---
[3] Dysthymic disorder — Essential Features: • Persistent depressed mood (i.e. lasting 2 years or more), for most of the day, for more days than not, as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance), is required for diagnosis. In children and adolescents depressed mood can manifest as pe
---
[4] Mood disorder, unspecified — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this common experience by the severity, range and duration of symptoms. If the diagnostic requirements for a",,,,
Phase 3: Few-shot-Few-shot-9,Few-shot,9,suicidal,normal,"Label: normal  
Evidence: ICD-11 chunk [3] says: ""Rapid shifts among different mood states commonly occur (i.e. mood lability). This does not include periods of elevated or irritable mood that are contextually appropriate (e.g. elevated mood after graduating from school or related to falling in love).""  
Justification: The post is a casual expression of frustration and self-criticism but does not indicate any persistent mood instability, severe depressive symptoms, or suicidal ideation. The statement reflects a temporary emotional state without evidence of a diagnosable mental health condition.","[1] Cyclothymic disorder — Essential Features: • Mood instability over an extended period of time (i.e. 2 years or more) characterized by numerous hypomanic and depressive periods is required for diagnosis. (In children and adolescents depressed mood can manifest as pervasive irritability.) Hypomanic periods may or may not have been sufficiently
---
[2] Cyclothymic disorder — Boundary with Normality: • Cyclothymic disorder is distinguished from normal variations in mood by a history of distress or di&culty functioning due to repeated occurrences of mood disturbance.
---
[3] Mood disorder, unspecified — Essential Features: • Both of the following symptoms occur concurrently and persist for most of the day, nearly every day, for at least several days. • Persistent elevation of mood or increased irritability is observable or reported, and represents a significant change from the individual’s usual range of moods (e.g. t
---
[4] Mood disorder, unspecified — Boundary with Normality: • Periods of euphoric or irritable mood that are entirely contextually appropriate (e.g. euphoria after winning a lottery) should not be considered as meeting the mood component of the diagnostic requirements for a manic episode.
---
[5] Dysthymic disorder — Essential Features: since the onset of the disorder. • There is no history of manic, mixed or hypomanic episodes, which would indicate the presence of a bipolar or related disorder. • The symptoms are not a manifestation of another medical condition (e.g. hypothyroidism), and are not due to the effects of a substance o",,,,
