response_id,config,post_index,true_label,predicted,full_answer,retrieved_chunks,c2_relevant,c2_note,c3_relevant,c3_note
Phase 5: 0.6B-0.6B-0,0.6B,0,suicidal,suicidal,"Label: suicidal  
Evidence: <ICD-11 chunk [number] says: ""quote the exact text from that chunk"">  
Justification: <explain how the quoted ICD-11 text connects to the post>","[1] Mood disorder, unspecified — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse
---
[2] Dysthymic disorder — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity, range and duration of symptoms. Assessment of the presence or absence of signs or symptoms should b
---
[3] Dysthymic disorder — Essential Features: • Persistent depressed mood (i.e. lasting 2 years or more), for most of the day, for more days than not, as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance), is required for diagnosis. In children and adolescents depressed mood can manifest as pe
---
[4] Mood disorder, unspecified — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this common experience by the severity, range and duration of symptoms. If the diagnostic requirements for a
---
[5] Single episode depressive disorder — Essential Features: • The presence or a history of a single depressive episode (see above essential features) is required for diagnosis. • There is no history of manic, mixed or hypomanic episodes, which would indicate the presence of a bipolar disorder. Severity, psychotic symptoms and remission specifiers The depress",,,,
Phase 5: 0.6B-0.6B-1,0.6B,1,suicidal,suicidal,"Label: suicidal ideation  
Evidence: <ICD-11 chunk [213] says: ""suicidal ideation (with or without a specific plan), or evidence of attempted suicide"">  
Justification: The post expresses suicidal ideation, indicating a desire to end a life, and there is no evidence of attempted suicide. The text reflects a deep sense of being broken and unable to find support, which aligns with suicidal ideation.","[1] Mood disorder, unspecified — Essential Features: suicidal ideation (with or without a specific plan), or evidence of attempted suicide Mood disorders 213 Neurovegetative cluster • Significantly disrupted sleep (delayed sleep onset, increased frequency of waking during the night, or early morning awakening) or excessive sleep • Significant change i
---
[2] Dysthymic disorder — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity, range and duration of symptoms. Assessment of the presence or absence of signs or symptoms should b
---
[3] Dysthymic disorder — Essential Features: • Persistent depressed mood (i.e. lasting 2 years or more), for most of the day, for more days than not, as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance), is required for diagnosis. In children and adolescents depressed mood can manifest as pe
---
[4] Mood disorder, unspecified — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this common experience by the severity, range and duration of symptoms. If the diagnostic requirements for a
---
[5] Mixed depressive and anxiety disorder — Essential Features: • The presence of both depressive and anxiety symptoms for most of the time during a period of 2 weeks or more is required for diagnosis. Mood disorders 259 • Depressive symptoms include depressed mood or markedly diminished interest or pleasure in activities. • There are multiple anxiety symptoms, ",,,,
Phase 5: 0.6B-0.6B-2,0.6B,2,suicidal,suicidal,"Label: suicidal ideation  
Evidence: <ICD-11 chunk [number] says: ""quote the exact text from that chunk"">  
Justification: <explain how the quoted ICD-11 text connects to the post>","[1] Mood disorder, unspecified — Essential Features: suicidal ideation (with or without a specific plan), or evidence of attempted suicide Mood disorders 213 Neurovegetative cluster • Significantly disrupted sleep (delayed sleep onset, increased frequency of waking during the night, or early morning awakening) or excessive sleep • Significant change i
---
[2] Dysthymic disorder — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity, range and duration of symptoms. Assessment of the presence or absence of signs or symptoms should b
---
[3] Dysthymic disorder — Essential Features: • Persistent depressed mood (i.e. lasting 2 years or more), for most of the day, for more days than not, as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance), is required for diagnosis. In children and adolescents depressed mood can manifest as pe
---
[4] Mood disorder, unspecified — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this common experience by the severity, range and duration of symptoms. If the diagnostic requirements for a
---
[5] Recurrent depressive disorder — Essential Features: • A history of at least two depressive episodes (see above essential features), which may include a current episode, separated by several months without significant mood disturbance is required for diagnosis. • There is no history of manic, mixed or hypomanic episodes, which would indicate the prese",,,,
Phase 5: 0.6B-0.6B-3,0.6B,3,suicidal,suicidal,"Label: suicidal  
Evidence: <ICD-11 chunk [number] says: ""I hate myself. My head is so messed up and my moods keep changing like a rollercoaster. I go from the happiest person to the most suicidal one in just a couple of hours and it is so exhausting. I want everything to end Having a rough day"">  
Justification: <ICD-11 chunk [number] says: ""I hate myself. My head is so messed up and my moods keep changing like a rollercoaster. I go from the happiest person to the most suicidal one in just a couple of hours and it is so exhausting. I want everything to end Having a rough day"">","[1] Mood disorder, unspecified — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse
---
[2] Dysthymic disorder — Essential Features: since the onset of the disorder. • There is no history of manic, mixed or hypomanic episodes, which would indicate the presence of a bipolar or related disorder. • The symptoms are not a manifestation of another medical condition (e.g. hypothyroidism), and are not due to the effects of a substance o
---
[3] Dysthymic disorder — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity, range and duration of symptoms. Assessment of the presence or absence of signs or symptoms should b
---
[4] Cyclothymic disorder — Essential Features: • Mood instability over an extended period of time (i.e. 2 years or more) characterized by numerous hypomanic and depressive periods is required for diagnosis. (In children and adolescents depressed mood can manifest as pervasive irritability.) Hypomanic periods may or may not have been sufficiently
---
[5] Cyclothymic disorder — Boundary with Normality: • Cyclothymic disorder is distinguished from normal variations in mood by a history of distress or di&culty functioning due to repeated occurrences of mood disturbance.",,,,
Phase 5: 0.6B-0.6B-4,0.6B,4,suicidal,suicidal,"Label: suicidal  
Evidence: <ICD-11 chunk [number] says: ""quote the exact text from that chunk"">  
Justification: <explain how the quoted ICD-11 text connects to the post>","[1] Mood disorder, unspecified — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse
---
[2] Mixed depressive and anxiety disorder — Essential Features: • The presence of both depressive and anxiety symptoms for most of the time during a period of 2 weeks or more is required for diagnosis. Mood disorders 259 • Depressive symptoms include depressed mood or markedly diminished interest or pleasure in activities. • There are multiple anxiety symptoms, 
---
[3] Mixed depressive and anxiety disorder — Boundary with Normality: • If worry is the only anxiety symptom (i.e. no sympathetic autonomic or other anxiety symptoms are present), a diagnosis of mixed depressive and anxiety disorder diagnosis is not appropriate.
---
[4] Dysthymic disorder — Essential Features: since the onset of the disorder. • There is no history of manic, mixed or hypomanic episodes, which would indicate the presence of a bipolar or related disorder. • The symptoms are not a manifestation of another medical condition (e.g. hypothyroidism), and are not due to the effects of a substance o
---
[5] Dysthymic disorder — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity, range and duration of symptoms. Assessment of the presence or absence of signs or symptoms should b",,,,
Phase 5: 0.6B-0.6B-5,0.6B,5,suicidal,suicidal,"Label: <suicidal|
Evidence: <ICD-11 chunk [number] says: ""quote the exact text from that chunk"">
Justification: <explain how the quoted ICD-11 text connects to the post>","[1] Mood disorder, unspecified — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse
---
[2] Mixed depressive and anxiety disorder — Essential Features: • The presence of both depressive and anxiety symptoms for most of the time during a period of 2 weeks or more is required for diagnosis. Mood disorders 259 • Depressive symptoms include depressed mood or markedly diminished interest or pleasure in activities. • There are multiple anxiety symptoms, 
---
[3] Mixed depressive and anxiety disorder — Boundary with Normality: • If worry is the only anxiety symptom (i.e. no sympathetic autonomic or other anxiety symptoms are present), a diagnosis of mixed depressive and anxiety disorder diagnosis is not appropriate.
---
[4] Dysthymic disorder — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity, range and duration of symptoms. Assessment of the presence or absence of signs or symptoms should b
---
[5] Dysthymic disorder — Essential Features: • Persistent depressed mood (i.e. lasting 2 years or more), for most of the day, for more days than not, as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance), is required for diagnosis. In children and adolescents depressed mood can manifest as pe",,,,
Phase 5: 0.6B-0.6B-6,0.6B,6,suicidal,suicidal,"Label: <suicidal|
Evidence: <ICD-11 chunk [number] says: ""quote the exact text from that chunk"">
Justification: <explain how the quoted ICD-11 text connects to the post>","[1] Mood disorder, unspecified — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse
---
[2] Mixed depressive and anxiety disorder — Essential Features: • The presence of both depressive and anxiety symptoms for most of the time during a period of 2 weeks or more is required for diagnosis. Mood disorders 259 • Depressive symptoms include depressed mood or markedly diminished interest or pleasure in activities. • There are multiple anxiety symptoms, 
---
[3] Mixed depressive and anxiety disorder — Boundary with Normality: • If worry is the only anxiety symptom (i.e. no sympathetic autonomic or other anxiety symptoms are present), a diagnosis of mixed depressive and anxiety disorder diagnosis is not appropriate.
---
[4] Cyclothymic disorder — Essential Features: • Mood instability over an extended period of time (i.e. 2 years or more) characterized by numerous hypomanic and depressive periods is required for diagnosis. (In children and adolescents depressed mood can manifest as pervasive irritability.) Hypomanic periods may or may not have been sufficiently
---
[5] Cyclothymic disorder — Boundary with Normality: • Cyclothymic disorder is distinguished from normal variations in mood by a history of distress or di&culty functioning due to repeated occurrences of mood disturbance.",,,,
Phase 5: 0.6B-0.6B-7,0.6B,7,suicidal,normal,"Label: normal  
Evidence: <ICD-11 chunk [number] says: ""quote the exact text from that chunk"">  
Justification: <explain how the quoted ICD-11 text connects to the post>","[1] Mood disorder, unspecified — Essential Features: suicidal ideation (with or without a specific plan), or evidence of attempted suicide Mood disorders 213 Neurovegetative cluster • Significantly disrupted sleep (delayed sleep onset, increased frequency of waking during the night, or early morning awakening) or excessive sleep • Significant change i
---
[2] Dysthymic disorder — Essential Features: since the onset of the disorder. • There is no history of manic, mixed or hypomanic episodes, which would indicate the presence of a bipolar or related disorder. • The symptoms are not a manifestation of another medical condition (e.g. hypothyroidism), and are not due to the effects of a substance o
---
[3] Dysthymic disorder — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity, range and duration of symptoms. Assessment of the presence or absence of signs or symptoms should b
---
[4] Mixed depressive and anxiety disorder — Essential Features: • The presence of both depressive and anxiety symptoms for most of the time during a period of 2 weeks or more is required for diagnosis. Mood disorders 259 • Depressive symptoms include depressed mood or markedly diminished interest or pleasure in activities. • There are multiple anxiety symptoms, 
---
[5] Mixed depressive and anxiety disorder — Boundary with Normality: • If worry is the only anxiety symptom (i.e. no sympathetic autonomic or other anxiety symptoms are present), a diagnosis of mixed depressive and anxiety disorder diagnosis is not appropriate.",,,,
Phase 5: 0.6B-0.6B-8,0.6B,8,suicidal,suicidal,"Label: suicide  
Evidence: <ICD-11 chunk [number] says: ""quote the exact text from that chunk"">  
Justification: <explain how the quoted ICD-11 text connects to the post>","[1] Mood disorder, unspecified — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse
---
[2] Dysthymic disorder — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity, range and duration of symptoms. Assessment of the presence or absence of signs or symptoms should b
---
[3] Dysthymic disorder — Essential Features: • Persistent depressed mood (i.e. lasting 2 years or more), for most of the day, for more days than not, as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance), is required for diagnosis. In children and adolescents depressed mood can manifest as pe
---
[4] Mood disorder, unspecified — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this common experience by the severity, range and duration of symptoms. If the diagnostic requirements for a
---
[5] Cyclothymic disorder — Boundary with Normality: • Cyclothymic disorder is distinguished from normal variations in mood by a history of distress or difficulty functioning due to repeated occurrences of mood disturbance.",,,,
Phase 5: 0.6B-0.6B-9,0.6B,9,suicidal,normal,"Label: normal  
Evidence: <ICD-11 chunk [number] says: ""quote the exact text from that chunk"">  
Justification: <explain how the quoted ICD-11 text connects to the post>","[1] Cyclothymic disorder — Essential Features: • Mood instability over an extended period of time (i.e. 2 years or more) characterized by numerous hypomanic and depressive periods is required for diagnosis. (In children and adolescents depressed mood can manifest as pervasive irritability.) Hypomanic periods may or may not have been sufficiently
---
[2] Cyclothymic disorder — Boundary with Normality: • Cyclothymic disorder is distinguished from normal variations in mood by a history of distress or di&culty functioning due to repeated occurrences of mood disturbance.
---
[3] Mood disorder, unspecified — Essential Features: • Both of the following symptoms occur concurrently and persist for most of the day, nearly every day, for at least several days. • Persistent elevation of mood or increased irritability is observable or reported, and represents a significant change from the individual’s usual range of moods (e.g. t
---
[4] Mood disorder, unspecified — Boundary with Normality: • Periods of euphoric or irritable mood that are entirely contextually appropriate (e.g. euphoria after winning a lottery) should not be considered as meeting the mood component of the diagnostic requirements for a manic episode.
---
[5] Dysthymic disorder — Essential Features: since the onset of the disorder. • There is no history of manic, mixed or hypomanic episodes, which would indicate the presence of a bipolar or related disorder. • The symptoms are not a manifestation of another medical condition (e.g. hypothyroidism), and are not due to the effects of a substance o",,,,
