response_id,config,post_index,true_label,predicted,full_answer,retrieved_chunks,c2_relevant,c2_note,c3_relevant,c3_note
Phase 9 Run 3-Run 3-0,Run 3,0,suicidal,suicidal,"Label: suicidal
Evidence: [3] (Depressive episode — Essential Features) • suicidal ideation (with or without a specific plan), or evidence of attempted suicide
Justification: The post mentions ""thinking of ending it all"" and ""is there a more efficient way?"" which indicates suicidal ideation. The mention of wanting to ""die"" and the question about a ""more efficient way"" suggests a desire to end one's life. The context of being 13 years old and the lack of a gun implies a specific risk factor, which is addressed in the evidence.","[1] Depressive episode — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse
---
[2] Depressive episode — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this common experience by the severity, range and duration of symptoms. If the diagnostic requirements for a
---
[3] Depressive episode — Essential Features: suicidal ideation (with or without a specific plan), or evidence of attempted suicide Mood disorders 213 Neurovegetative cluster • Significantly disrupted sleep (delayed sleep onset, increased frequency of waking during the night, or early morning awakening) or excessive sleep • Significant change i
---
[4] Prolonged grief disorder — Boundary with Normality: • An individual experiencing a grief reaction that is within a normative period given their cultural and religious context is considered to be experiencing normal bereavement, and should not be assigned a diagnosis of prolonged grief disorder. It is often important to consider whether other people w
---
[5] Prolonged grief disorder — Essential Features: • A history of bereavement following the death of a partner, parent, child or other person close to the bereaved is required for diagnosis. Disorders specifically associated with stress | Prolonged grief disorder Disorders specifically associated with stress 349 • A persistent and pervasive grief re",,,,
Phase 9 Run 3-Run 3-1,Run 3,1,suicidal,suicidal,"Label: suicidal
Evidence: [1] says: ""suicidal ideation (with or without a specific plan), or evidence of attempted suicide""
Justification: The post mentions the individual is conflicted about attempting to fail or die, and expresses a desire for the outcome to be ""good"" regardless of the actual result. The mention of suicidal ideation and the context of attempting to fail suggests a potential risk of suicide, aligning with the ICD-11 criteria for suicidal ideation.","[1] Depressive episode — Essential Features: suicidal ideation (with or without a specific plan), or evidence of attempted suicide Mood disorders 213 Neurovegetative cluster • Significantly disrupted sleep (delayed sleep onset, increased frequency of waking during the night, or early morning awakening) or excessive sleep • Significant change i
---
[2] Depressive episode — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this common experience by the severity, range and duration of symptoms. If the diagnostic requirements for a
---
[3] Prolonged grief disorder — Boundary with Normality: • An individual experiencing a grief reaction that is within a normative period given their cultural and religious context is considered to be experiencing normal bereavement, and should not be assigned a diagnosis of prolonged grief disorder. It is often important to consider whether other people w
---
[4] Prolonged grief disorder — Essential Features: • A history of bereavement following the death of a partner, parent, child or other person close to the bereaved is required for diagnosis. Disorders specifically associated with stress | Prolonged grief disorder Disorders specifically associated with stress 349 • A persistent and pervasive grief re
---
[5] Depressive episode — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse",,,,
Phase 9 Run 3-Run 3-2,Run 3,2,suicidal,suicidal,"Label: suicidal
Evidence: [3] (Depressive episode — Essential Features) • suicidal ideation (with or without a specific plan), or evidence of attempted suicide
Justification: The post contains repeated statements indicating a sense of being treated poorly by others, which is associated with suicidal ideation. The presence of suicidal ideation with a specific plan, as described in the ICD-11 chunk, supports the classification as suicidal.","[1] Depressive episode — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse
---
[2] Depressive episode — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this common experience by the severity, range and duration of symptoms. If the diagnostic requirements for a
---
[3] Depressive episode — Essential Features: suicidal ideation (with or without a specific plan), or evidence of attempted suicide Mood disorders 213 Neurovegetative cluster • Significantly disrupted sleep (delayed sleep onset, increased frequency of waking during the night, or early morning awakening) or excessive sleep • Significant change i
---
[4] Adjustment disorder — Essential Features: • A maladaptive reaction to an identifiable psychosocial stressor or multiple stressors (e.g. single stressful event, ongoing psychosocial difficulty or a combination of stressful life situations) that usually emerges within a month of the stressor is required for diagnosis. Examples include divorce
---
[5] Adjustment disorder — Boundary with Normality: • Adjustment disorder represents a maladaptive reaction and failure to adapt to a stressor that is associated with significant preoccupation, and results in significant impairment in personal, family, social, educational, occupational or other important areas of functioning. Emotional reactions to n",,,,
Phase 9 Run 3-Run 3-3,Run 3,3,suicidal,suicidal,"Label: suicidal
Evidence: [3] (Depressive episode — Essential Features) says: ""suicidal ideation (with or without a specific plan), or evidence of attempted suicide""
Justification: The post mentions ""suicidal ideation"" and ""evidence of attempted suicide,"" which aligns with the diagnostic criteria for a depressive episode involving suicidal ideation. The mention of a suicide attempt and the desire to ""disappear"" and ""bury me in a ditch"" further supports the classification as suicidal.","[1] Depressive episode — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse
---
[2] Depressive episode — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this common experience by the severity, range and duration of symptoms. If the diagnostic requirements for a
---
[3] Depressive episode — Essential Features: suicidal ideation (with or without a specific plan), or evidence of attempted suicide Mood disorders 213 Neurovegetative cluster • Significantly disrupted sleep (delayed sleep onset, increased frequency of waking during the night, or early morning awakening) or excessive sleep • Significant change i
---
[4] Mixed depressive and anxiety disorder — Essential Features: • The presence of both depressive and anxiety symptoms for most of the time during a period of 2 weeks or more is required for diagnosis. Mood disorders 259 • Depressive symptoms include depressed mood or markedly diminished interest or pleasure in activities. • There are multiple anxiety symptoms, 
---
[5] Mixed depressive and anxiety disorder — Boundary with Normality: • If worry is the only anxiety symptom (i.e. no sympathetic autonomic or other anxiety symptoms are present), a diagnosis of mixed depressive and anxiety disorder diagnosis is not appropriate.",,,,
Phase 9 Run 3-Run 3-4,Run 3,4,suicidal,suicidal,"Label: suicidal
Evidence: [1] says: ""suicidal ideation (with or without a specific plan), or evidence of attempted suicide""
Justification: The post mentions ""I am by no means in the correct mental space to continue education... I want to ensure my family that my decision is honestly not that big of a deal, that I will not get hurt in the process, and that everything will go back to normal within a year or two; what do you guys think, is there legitimately any way around this?"" This shows suicidal ideation with a specific plan, which aligns with the diagnostic criteria for suicidal ideation.","[1] Depressive episode — Essential Features: suicidal ideation (with or without a specific plan), or evidence of attempted suicide Mood disorders 213 Neurovegetative cluster • Significantly disrupted sleep (delayed sleep onset, increased frequency of waking during the night, or early morning awakening) or excessive sleep • Significant change i
---
[2] Depressive episode — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this common experience by the severity, range and duration of symptoms. If the diagnostic requirements for a
---
[3] Hypomanic episode — Essential Features: from one idea to the next; the person reports that their thoughts are rapid or even racing and has difficulty remaining on a topic); • increased self-esteem or grandiosity (e.g. the individual is more self-confident than usual); • decreased need for sleep (e.g. the person reports needing less sleep 
---
[4] Hypomanic episode — Boundary with Normality: • Hypomanic episodes are often difficult to distinguish from normal periods of elevated mood – for example, related to positive life events – particularly given that hypomanic episodes are not associated with significant functional impairment. In order to be considered a hypomanic episode, the sympt
---
[5] Depressive episode — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse",,,,
Phase 9 Run 3-Run 3-5,Run 3,5,suicidal,depression,"Label: depression
Evidence: [3] says: ""suicidal ideation (with or without a specific plan), or evidence of attempted suicide Mood disorders 213 Neurovegetative cluster • Significantly disrupted sleep (delayed sleep onset, increased frequency of waking during the night, or early morning awakening) or excessive sleep • Significant change in appetite (diminished or increased) or significant weight change (gain or loss) • Psychomotor agitation or retardation (observable by others, not merely subjective feelings of restlessness or being slowed down) • Reduced energy, fatigue or marked tiredness following the expenditure of only a minimum of effort • The symptoms are not better accounted for by bereavement. • The symptoms are not a manifestation of another medical condition (e.g. a brain tumour), and are not due to the effects of a substance or medication on the central nervous system (e.g. benzodiazepines), including withdrawal effects (e.g. from stimulants). • The clinical presentation does not fulfil the diagnostic requirements for a mixed episode. • The mood disturbance results in significant impairment in personal, family, social, educational, occupational or other important areas of functioning. If functioning is maintained, it is only through significant additional effort.""
Justification: The post mentions feeling powerless and the pain dragging on, which aligns with the criteria for depressive episodes. The mention of suicidal ideation and the realization that the death was not of a heart attack supports the diagnosis of depression.","[1] Prolonged grief disorder — Essential Features: • A history of bereavement following the death of a partner, parent, child or other person close to the bereaved is required for diagnosis. Disorders specifically associated with stress | Prolonged grief disorder Disorders specifically associated with stress 349 • A persistent and pervasive grief re
---
[2] Prolonged grief disorder — Boundary with Normality: • An individual experiencing a grief reaction that is within a normative period given their cultural and religious context is considered to be experiencing normal bereavement, and should not be assigned a diagnosis of prolonged grief disorder. It is often important to consider whether other people w
---
[3] Depressive episode — Essential Features: suicidal ideation (with or without a specific plan), or evidence of attempted suicide Mood disorders 213 Neurovegetative cluster • Significantly disrupted sleep (delayed sleep onset, increased frequency of waking during the night, or early morning awakening) or excessive sleep • Significant change i
---
[4] Depressive episode — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this common experience by the severity, range and duration of symptoms. If the diagnostic requirements for a
---
[5] Depressive episode — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse",,,,
Phase 9 Run 3-Run 3-6,Run 3,6,suicidal,suicidal,"Label: suicidal
Evidence: [1] says: ""Persistent elevation of mood or increased irritability is observable or reported, and represents a significant change from the individual’s usual range of moods (e.g. the change would be apparent to people who know the individual well). This does not include periods of elevated or irritable mood that are contextually appropriate (e.g. elevated mood after graduating from school or related to falling in love). Rapid shifts among different mood states commonly occur (i.e. mood lability).""
Justification: The post expresses a sense of overwhelming trauma and inability to handle the ""fucking drama,"" which aligns with the clinical feature of persistent elevation of mood or increased irritability that represents a significant change from the individual’s usual range of moods. The statement ""I cannot take it"" and ""I HATE IT"" suggests a severe emotional distress that could indicate a suicidal risk.","[1] Hypomanic episode — Essential Features: • Both of the following symptoms occur concurrently and persist for most of the day, nearly every day, for at least several days. • Persistent elevation of mood or increased irritability is observable or reported, and represents a significant change from the individual’s usual range of moods (e.g. t
---
[2] Hypomanic episode — Boundary with Normality: • Hypomanic episodes are often difficult to distinguish from normal periods of elevated mood – for example, related to positive life events – particularly given that hypomanic episodes are not associated with significant functional impairment. In order to be considered a hypomanic episode, the sympt
---
[3] Manic episode — Essential Features: • Both of the following features occur concurrently and persist for most of the day, nearly every day, during a period of at least 1 week, unless shortened by a treatment intervention. • An extreme mood state is observable or reported, characterized by euphoria, irritability or expansiveness that re
---
[4] Manic episode — Boundary with Normality: • Periods of euphoric or irritable mood that are entirely contextually appropriate (e.g. euphoria after winning a lottery) should not be considered as meeting the mood component of the diagnostic requirements for a manic episode.
---
[5] Hypomanic episode — Essential Features: from one idea to the next; the person reports that their thoughts are rapid or even racing and has difficulty remaining on a topic); • increased self-esteem or grandiosity (e.g. the individual is more self-confident than usual); • decreased need for sleep (e.g. the person reports needing less sleep ",,,,
Phase 9 Run 3-Run 3-7,Run 3,7,suicidal,normal,"Label: normal
Evidence: [3] says: ""The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present.""
Justification: The post does not indicate a depressive episode, as it does not meet the criteria for a depressive episode as defined in ICD-11. The post reflects a sense of frustration and dissatisfaction with life but does not show the characteristic symptoms of a depressive episode, such as persistent low mood, loss of interest, or hopelessness. The post also does not indicate any suicidal ideation or plan, and the individual is expressing a sense of purpose and motivation despite the challenges they are facing. Therefore, the post does not meet the criteria for a depressive episode and is classified as normal.","[1] Adjustment disorder — Essential Features: • A maladaptive reaction to an identifiable psychosocial stressor or multiple stressors (e.g. single stressful event, ongoing psychosocial difficulty or a combination of stressful life situations) that usually emerges within a month of the stressor is required for diagnosis. Examples include divorce
---
[2] Adjustment disorder — Boundary with Normality: • Adjustment disorder represents a maladaptive reaction and failure to adapt to a stressor that is associated with significant preoccupation, and results in significant impairment in personal, family, social, educational, occupational or other important areas of functioning. Emotional reactions to n
---
[3] Depressive episode — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse
---
[4] Depressive episode — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this common experience by the severity, range and duration of symptoms. If the diagnostic requirements for a
---
[5] Prolonged grief disorder — Essential Features: • A history of bereavement following the death of a partner, parent, child or other person close to the bereaved is required for diagnosis. Disorders specifically associated with stress | Prolonged grief disorder Disorders specifically associated with stress 349 • A persistent and pervasive grief re",,,,
Phase 9 Run 3-Run 3-8,Run 3,8,suicidal,suicidal,"Label: suicidal
Evidence: [1] says: ""the person reports that their thoughts are rapid or even racing and has difficulty remaining on a topic); • increased self-esteem or grandiosity (e.g. the individual is more self-confident than usual); • decreased need for sleep (e.g. the person reports needing less sleep than usual and still feels well-rested), as distinct from insomnia, in which an individual wants to sleep but cannot; • distractibility (e.g. the person has difficulty staying on task, because attention is drawn to irrelevant or minor environmental stimuli, such as being overly distracted by outside noise during a conversation); Mood disorders 223 • impulsive reckless behaviour (e.g. the individual pursues pleasurable activities with little regard to their potential for negative consequences, or makes decisions in the absence of adequate planning); • an increase in sexual drive, sociability or goal-directed activity. • The symptoms are not a manifestation of another medical condition (e.g. a brain tumour), and are not due to the effects of a substance or medication on the central nervous system (e.g. cocaine, amfetamines), including withdrawal effects (e.g. from stimulants). • The clinical presentation does not fulfil the diagnostic requirements for a mixed episode. • The mood disturbance is not sufficiently severe to cause marked impairment in occupational functioning or in usual social activities or relationships with others, and
Evidence: [3] says: ""decreased need for sleep (e.g. the person reports being able to function with only 2 or 3 hours of sleep), as distinct from insomnia, in which an individual wants to sleep but cannot; 218 Clinical Descriptions and Diagnostic Requirements for ICD-11 Mental, Behavioural or Neurodevelopmental Disorders • distractibility (e.g. the person cannot stay on task, because attention is drawn to irrelevant or minor environmental stimuli, such as being overly distracted by outside noise during a conversation); • impulsive reckless behaviour (e.g. the individual impulsively pursues pleasurable activities without regard to their potential for negative consequences, or impulsively makes major decisions in the absence of adequate planning); • an increase in sexual drive, sociability or goal-directed activity. • The symptoms are not a manifestation of another medical condition (e.g. a brain tumour), and are not due to the effects of a substance or medication on the central nervous system (e.g. cocaine, amfetamines), including withdrawal effects. • The clinical presentation does not","[1] Hypomanic episode — Essential Features: from one idea to the next; the person reports that their thoughts are rapid or even racing and has difficulty remaining on a topic); • increased self-esteem or grandiosity (e.g. the individual is more self-confident than usual); • decreased need for sleep (e.g. the person reports needing less sleep 
---
[2] Hypomanic episode — Boundary with Normality: • Hypomanic episodes are often difficult to distinguish from normal periods of elevated mood – for example, related to positive life events – particularly given that hypomanic episodes are not associated with significant functional impairment. In order to be considered a hypomanic episode, the sympt
---
[3] Manic episode — Essential Features: their skill level, or that they are about to become famous – in psychotic presentations of mania, this may be manifested in grandiose delusions); • decreased need for sleep (e.g. the person reports being able to function with only 2 or 3 hours of sleep), as distinct from insomnia, in which an indivi
---
[4] Manic episode — Boundary with Normality: • Periods of euphoric or irritable mood that are entirely contextually appropriate (e.g. euphoria after winning a lottery) should not be considered as meeting the mood component of the diagnostic requirements for a manic episode.
---
[5] Borderline pattern — Essential Features: • An enduring disturbance characterized by problems in functioning of aspects of the self (e.g. identity, self-worth, accuracy of self-view, self-direction) and/or interpersonal dysfunction (e.g. ability to develop and maintain close and mutually satisfying relationships, ability to understand other",,,,
Phase 9 Run 3-Run 3-9,Run 3,9,suicidal,suicidal,"Label: suicidal
Evidence: [1] says: ""The symptoms are not a manifestation of another medical condition (e.g. a brain tumour), and are not due to the effects of a substance or medication on the central nervous system (e.g. cocaine, amfetamines), including withdrawal effects.""
Justification: The post mentions ""another reason to blow my brains out,"" which is a self-reported intent to harm oneself, indicating a suicidal ideation. The ICD-11 chunk [1] discusses manic episodes but does not directly address suicidal behavior. However, the context of the post suggests a self-harm intent, which is a key indicator of suicidal risk.","[1] Manic episode — Essential Features: their skill level, or that they are about to become famous – in psychotic presentations of mania, this may be manifested in grandiose delusions); • decreased need for sleep (e.g. the person reports being able to function with only 2 or 3 hours of sleep), as distinct from insomnia, in which an indivi
---
[2] Manic episode — Boundary with Normality: • Periods of euphoric or irritable mood that are entirely contextually appropriate (e.g. euphoria after winning a lottery) should not be considered as meeting the mood component of the diagnostic requirements for a manic episode.
---
[3] Hypomanic episode — Essential Features: from one idea to the next; the person reports that their thoughts are rapid or even racing and has difficulty remaining on a topic); • increased self-esteem or grandiosity (e.g. the individual is more self-confident than usual); • decreased need for sleep (e.g. the person reports needing less sleep 
---
[4] Hypomanic episode — Boundary with Normality: • Hypomanic episodes are often difficult to distinguish from normal periods of elevated mood – for example, related to positive life events – particularly given that hypomanic episodes are not associated with significant functional impairment. In order to be considered a hypomanic episode, the sympt
---
[5] Manic episode — Essential Features: • Both of the following features occur concurrently and persist for most of the day, nearly every day, during a period of at least 1 week, unless shortened by a treatment intervention. • An extreme mood state is observable or reported, characterized by euphoria, irritability or expansiveness that re",,,,
Phase 9 Run 3-Run 3-10,Run 3,10,suicidal,suicidal,"Label: suicidal
Evidence: [3] (Depressive episode — Essential Features) says: ""Recurrent thoughts of death (not just fear of dying), recurrent suicidal ideation (with or without a specific plan), or evidence of attempted suicide""
Justification: The post mentions ""recurrent thoughts of death"" and ""suicide"" in the context of feeling numb and wanting to kill oneself. This aligns with the diagnostic criteria for depressive episode, specifically the presence of recurrent suicidal ideation, which is one of the essential features of a depressive episode.","[1] Prolonged grief disorder — Essential Features: • A history of bereavement following the death of a partner, parent, child or other person close to the bereaved is required for diagnosis. Disorders specifically associated with stress | Prolonged grief disorder Disorders specifically associated with stress 349 • A persistent and pervasive grief re
---
[2] Prolonged grief disorder — Boundary with Normality: • An individual experiencing a grief reaction that is within a normative period given their cultural and religious context is considered to be experiencing normal bereavement, and should not be assigned a diagnosis of prolonged grief disorder. It is often important to consider whether other people w
---
[3] Depressive episode — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or abse
---
[4] Depressive episode — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this common experience by the severity, range and duration of symptoms. If the diagnostic requirements for a
---
[5] Dysthymic disorder — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity, range and duration of symptoms. Assessment of the presence or absence of signs or symptoms should b",,,,
