response_id,config,post_index,true_label,predicted,full_answer,retrieved_chunks,c2_relevant,c2_note,c3_relevant,c3_note
Phase2-HybridScoped-0,Hybrid+Scoped,0,suicidal,suicidal,"Label: suicidal
Evidence: [3] (Depressive episode — Essential Features) • suicidal ideation (with or without a specific plan), or evidence of attempted suicide
Justification: The post mentions ""thinking of ending it all"" and ""is there a more efficient way?"" which indicates suicidal ideation. The mention of wanting to ""die"" and the question about a ""more efficient way"" suggests a desire to end one's life. The context of being 13 years old and the lack of a gun implies a specific risk factor, which is addressed in the evidence.","[1] Depressive episode (EP.DEP) — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis.
---
[2] Depressive episode (EP.DEP) — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this com
---
[3] Depressive episode (EP.DEP) — Essential Features: suicidal ideation (with or without a specific plan), or evidence of attempted suicide Mood disorders 213 Neurovegetative cluster • Significantly disrupted sleep (delayed sleep onset, increased frequen
---
[4] Prolonged grief disorder (6B42) — Boundary with Normality: • An individual experiencing a grief reaction that is within a normative period given their cultural and religious context is considered to be experiencing normal bereavement, and should not be assign
---
[5] Prolonged grief disorder (6B42) — Essential Features: • A history of bereavement following the death of a partner, parent, child or other person close to the bereaved is required for diagnosis. Disorders specifically associated with stress | Prolonged gr",,,,
Phase2-HybridScoped-1,Hybrid+Scoped,1,suicidal,depression,"Label: depressive
Evidence: [2] says: ""The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or absence of symptoms should be made relative to typical functioning of the individual. Affective cluster • Depressed mood as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance) (Note: in children and adolescents depressed mood can manifest as irritability.) • Markedly diminished interest or pleasure in activities, especially those normally found to be enjoyable to the individual (Note: this may include a reduction in sexual desire.) Cognitive-behavioural cluster • Reduced ability to concentrate and sustain attention on tasks, or marked indecisiveness • Beliefs of low self-worth or excessive and inappropriate guilt that may be manifestly delusional (Note: this item should not be considered present if guilt or self-reproach is exclusively about being depressed.) • Hopelessness about the future • Recurrent thoughts of death (not just fear of dying), recurrent suicidal ideation (with or without a specific plan), or evidence of attempted suicide Mood disorders 213 Neurovegetative cluster • Significantly disrupted sleep (delayed sleep onset, increased frequency of waking during the night, or early morning)""
Justification: The post describes intense feelings of isolation, despair, and hopelessness, along with persistent anxiety and a lack of interest in social interactions. These symptoms align with the essential features of a depressive episode, particularly the presence of persistent depressive symptoms and a lack of interest in activities, which are key indicators of a depressive episode. The post also mentions recurrent suicidal ideation and a sense of hopelessness, which further support the diagnosis of depression.","[1] Depressive episode (EP.DEP) — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this com
---
[2] Depressive episode (EP.DEP) — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis.
---
[3] Dysthymic disorder (6A72) — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity,
---
[4] Dysthymic disorder (6A72) — Essential Features: • Persistent depressed mood (i.e. lasting 2 years or more), for most of the day, for more days than not, as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated a
---
[5] Depressive episode (EP.DEP) — Boundary with Normality: a depressive episode can be superimposed on normal grief. The presence of a depressive episode during a period of bereavement is suggested by persistence of constant depressive symptoms 1 month or mor",,,,
Phase2-HybridScoped-2,Hybrid+Scoped,2,suicidal,suicidal,"Label: suicidal
Evidence: ICD-11 chunk [4] says: ""The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or absence of symptoms should be made relative to typical functioning of the individual. Affective cluster • Depressed mood as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance) (Note: in children and adolescents depressed mood can manifest as irritability.) • Markedly diminished interest or pleasure in activities, especially those normally found to be enjoyable to the individual (Note: this may include a reduction in sexual desire.) Cognitive-behavioural cluster • Reduced ability to concentrate and sustain attention on tasks, or marked indecisiveness • Beliefs of low self-worth or excessive and inappropriate guilt that may be manifestly delusional (Note: this item should not be considered present if guilt or self-reproach is exclusively about being depressed.) • Hopelessness about the future • Recurrent thoughts of death (not just fear of dying), recurrent suicidal ideation (with or without a specific plan), or evidence of attempted suicide""
Justification: The post expresses a sense of hopelessness, recurrent thoughts of death, and recurrent suicidal ideation, which align with the diagnostic criteria for suicidal behavior. The text also indicates a persistent depressed mood and a lack of interest in activities, which are consistent with the essential features of dysthymic disorder and depressive episodes. The mention of a desire to leave gracefully and the feeling of being trapped by societal pressures further supports the classification as suicidal.","[1] Dysthymic disorder (6A72) — Essential Features: • Persistent depressed mood (i.e. lasting 2 years or more), for most of the day, for more days than not, as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated a
---
[2] Dysthymic disorder (6A72) — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity,
---
[3] Depressive episode (EP.DEP) — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this com
---
[4] Depressive episode (EP.DEP) — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis.
---
[5] Cyclothymic disorder (6A62) — Essential Features: • Mood instability over an extended period of time (i.e. 2 years or more) characterized by numerous hypomanic and depressive periods is required for diagnosis. (In children and adolescents depressed m",,,,
Phase2-HybridScoped-3,Hybrid+Scoped,3,suicidal,depression,"Label: depressive
Evidence: [3] (Depressive episode — Essential Features) says: ""The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present.""
Justification: The post expresses feelings of self-hatred, emotional turmoil, and mood instability, which align with the diagnostic criteria for a depressive episode. The mention of ""moods keep changing like a rollercoaster"" and ""suicidal ideation"" further supports the presence of depressive symptoms.","[1] Hypomanic episode (EP.HYP) — Essential Features: • Both of the following symptoms occur concurrently and persist for most of the day, nearly every day, for at least several days. • Persistent elevation of mood or increased irritability is observable
---
[2] Hypomanic episode (EP.HYP) — Boundary with Normality: • Hypomanic episodes are often difficult to distinguish from normal periods of elevated mood – for example, related to positive life events – particularly given that hypomanic episodes are not associa
---
[3] Depressive episode (EP.DEP) — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis.
---
[4] Depressive episode (EP.DEP) — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this com
---
[5] Manic episode (EP.MAN) — Essential Features: • Both of the following features occur concurrently and persist for most of the day, nearly every day, during a period of at least 1 week, unless shortened by a treatment intervention. • An extreme mo",,,,
Phase2-HybridScoped-4,Hybrid+Scoped,4,suicidal,suicidal,"Label: suicidal
Evidence: [1] says: ""Recurrent suicidal ideation (with or without a specific plan), or evidence of attempted suicide""
Justification: The post mentions ""I want to die"" and ""I have to many mental illnesses and my life is just slowly going downhill,"" which aligns with the ICD-11 criteria for recurrent suicidal ideation. The statement reflects a clear indication of suicidal ideation, which is a key component of the diagnostic criteria for suicidal behavior.","[1] Depressive episode (EP.DEP) — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis.
---
[2] Depressive episode (EP.DEP) — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this com
---
[3] Manic episode (EP.MAN) — Essential Features: their skill level, or that they are about to become famous – in psychotic presentations of mania, this may be manifested in grandiose delusions); • decreased need for sleep (e.g. the person reports be
---
[4] Manic episode (EP.MAN) — Boundary with Normality: • Periods of euphoric or irritable mood that are entirely contextually appropriate (e.g. euphoria after winning a lottery) should not be considered as meeting the mood component of the diagnostic requ
---
[5] Hypomanic episode (EP.HYP) — Essential Features: from one idea to the next; the person reports that their thoughts are rapid or even racing and has difficulty remaining on a topic); • increased self-esteem or grandiosity (e.g. the individual is more",,,,
Phase2-HybridScoped-5,Hybrid+Scoped,5,suicidal,suicidal,"Label: suicidal
Evidence: [3] says: ""The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis. At least one symptom from the affective cluster must be present. Assessment of the presence or absence of symptoms should be made relative to typical functioning of the individual. Affective cluster • Depressed mood as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance) (Note: in children and adolescents depressed mood can manifest as irritability.) • Markedly diminished interest or pleasure in activities, especially those normally found to be enjoyable to the individual (Note: this may include a reduction in sexual desire.) Cognitive-beavioural cluster • Reduced ability to concentrate and sustain attention on tasks, or marked indecisiveness • Beliefs of low self-worth or excessive and inappropriate guilt that may be manifestly delusional (Note: this item should not be considered present if guilt or self-reproach is exclusively about being depressed.) • Hopelessness about the future • Recurrent thoughts of death (not just fear of dying), recurrent suicidal ideation (with or without a specific plan), or evidence of attempted suicide Mood disorders 213 Neurovegetative cluster • Significantly disrupted sleep (delayed sleep onset, increased frequency of waking during the night, or early morning""
Justification: The post expresses a persistent feeling of hopelessness, recurrent thoughts of death, and recurrent suicidal ideation with a specific plan, which aligns with the diagnostic criteria for a depressive episode. The evidence from ICD-11 indicates that the presence of at least five symptoms, including recurrent thoughts of death and suicidal ideation, meets the diagnostic requirements for a depressive episode. The individual's fear of ending their life and the persistent negative emotions further support the classification as suicidal.","[1] Dysthymic disorder (6A72) — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity,
---
[2] Dysthymic disorder (6A72) — Essential Features: • Persistent depressed mood (i.e. lasting 2 years or more), for most of the day, for more days than not, as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated a
---
[3] Depressive episode (EP.DEP) — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis.
---
[4] Depressive episode (EP.DEP) — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this com
---
[5] Manic episode (EP.MAN) — Essential Features: their skill level, or that they are about to become famous – in psychotic presentations of mania, this may be manifested in grandiose delusions); • decreased need for sleep (e.g. the person reports be",,,,
Phase2-HybridScoped-6,Hybrid+Scoped,6,suicidal,suicidal,"Label: suicidal
Evidence: [1] says: ""Recurrent suicidal ideation (with or without a specific plan), or evidence of attempted suicide""
Justification: The post mentions ""I want to ODI want to take all of my meds and not die but be hospitalized"" and ""I've overdosed twice before, once very badly."" These statements indicate a risk of suicide, as the individual is expressing a desire to take medications and avoid death, while also showing a history of overdose. The mention of ""not die but be hospitalized"" further supports the classification as suicidal.","[1] Depressive episode (EP.DEP) — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis.
---
[2] Depressive episode (EP.DEP) — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this com
---
[3] Hypomanic episode (EP.HYP) — Essential Features: from one idea to the next; the person reports that their thoughts are rapid or even racing and has difficulty remaining on a topic); • increased self-esteem or grandiosity (e.g. the individual is more
---
[4] Hypomanic episode (EP.HYP) — Boundary with Normality: • Hypomanic episodes are often difficult to distinguish from normal periods of elevated mood – for example, related to positive life events – particularly given that hypomanic episodes are not associa
---
[5] Hypomanic episode (EP.HYP) — Essential Features: • Both of the following symptoms occur concurrently and persist for most of the day, nearly every day, for at least several days. • Persistent elevation of mood or increased irritability is observable",,,,
Phase2-HybridScoped-7,Hybrid+Scoped,7,suicidal,suicidal,"Label: suicidal
Evidence: [5] says: ""suicidal ideation (with or without a specific plan), or evidence of attempted suicide""
Justification: The post contains the phrase ""Not sure if Ill be able to take it Its getting harder and harder,"" which reflects a sense of hopelessness and despair. This is consistent with the diagnostic criteria for a depressive episode, specifically suicidal ideation, as outlined in ICD-11. The statement indicates a potential risk of suicide, which aligns with the evidence provided in ICD-11.","[1] Adjustment disorder (6B43) — Essential Features: • A maladaptive reaction to an identifiable psychosocial stressor or multiple stressors (e.g. single stressful event, ongoing psychosocial difficulty or a combination of stressful life situations) tha
---
[2] Adjustment disorder (6B43) — Boundary with Normality: • Adjustment disorder represents a maladaptive reaction and failure to adapt to a stressor that is associated with significant preoccupation, and results in significant impairment in personal, family,
---
[3] Mixed depressive and anxiety disorder (6A73) — Essential Features: • The presence of both depressive and anxiety symptoms for most of the time during a period of 2 weeks or more is required for diagnosis. Mood disorders 259 • Depressive symptoms include depressed moo
---
[4] Mixed depressive and anxiety disorder (6A73) — Boundary with Normality: • If worry is the only anxiety symptom (i.e. no sympathetic autonomic or other anxiety symptoms are present), a diagnosis of mixed depressive and anxiety disorder diagnosis is not appropriate.
---
[5] Depressive episode (EP.DEP) — Essential Features: suicidal ideation (with or without a specific plan), or evidence of attempted suicide Mood disorders 213 Neurovegetative cluster • Significantly disrupted sleep (delayed sleep onset, increased frequen",,,,
Phase2-HybridScoped-8,Hybrid+Scoped,8,suicidal,suicidal,"Label: suicidal
Evidence: [3] (Depressive episode — Essential Features) • suicidal ideation (with or without a specific plan), or evidence of attempted suicide
Justification: The post mentions a plan involving the use of a suicide pill roulette, which includes the possibility of taking a DIY extracted cyanide capsule. This indicates a clear intent to attempt suicide, aligning with the diagnostic criteria for suicidal ideation with or without a specific plan.","[1] Depressive episode (EP.DEP) — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis.
---
[2] Depressive episode (EP.DEP) — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this com
---
[3] Depressive episode (EP.DEP) — Essential Features: suicidal ideation (with or without a specific plan), or evidence of attempted suicide Mood disorders 213 Neurovegetative cluster • Significantly disrupted sleep (delayed sleep onset, increased frequen
---
[4] Dysthymic disorder (6A72) — Essential Features: • Persistent depressed mood (i.e. lasting 2 years or more), for most of the day, for more days than not, as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated a
---
[5] Dysthymic disorder (6A72) — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity,",,,,
Phase2-HybridScoped-9,Hybrid+Scoped,9,suicidal,normal,"Label: normal
Evidence: [1] says: ""Persistent depressed mood (i.e. lasting 2 years or more), for most of the day, for more days than not, as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated appearance), is required for diagnosis. In children and adolescents depressed mood can manifest as pervasive irritability. The depressed mood is accompanied by additional symptoms typically seen in a depressive episode, though these may be milder in form. Examples include: markedly diminished interest or pleasure in activities reduced concentration and attention, or indecisiveness low self-worth, or excessive or inappropriate guilt hopelessness about the future disturbed sleep or increased sleep diminished or increased appetite low energy or fatigue. During the first 2 years of the disorder, there has never been a 2-week period during which the number and duration of symptoms were sufficient to meet the diagnostic requirements for a depressive episode. While brief symptom-free intervals during the period of persistent depressed mood are consistent with the diagnosis, there have never been any prolonged symptom-free periods (e.g. lasting 2 months or more) since the onset of the disorder. There is no history of manic, mixed or hypomanic episodes, which would indicate the presence of a bipolar or related disorder. The symptoms are not a manifestation""
Justification: The post mentions a feeling of being ""like that sometimes"" but does not indicate persistent depressed mood or any other symptoms consistent with dysthymic disorder, depression, or other mental health conditions. The statement is brief and does not provide enough evidence to meet the diagnostic criteria for any of the listed conditions.","[1] Dysthymic disorder (6A72) — Essential Features: • Persistent depressed mood (i.e. lasting 2 years or more), for most of the day, for more days than not, as reported by the individual (e.g. feeling down, sad) or as observed (e.g. tearful, defeated a
---
[2] Dysthymic disorder (6A72) — Boundary with Normality: • Some depressed mood is a normal reaction to severe adverse life events and problems, and is common in the community. Dysthymic disorder is differentiated from this common experience by the severity,
---
[3] Depressive episode (EP.DEP) — Essential Features: • The concurrent presence of at least five of the following characteristic symptoms occurring for most of the day, nearly every day, during a period lasting at least 2 weeks is required for diagnosis.
---
[4] Depressive episode (EP.DEP) — Boundary with Normality: • Some depression of mood is a normal reaction to severe adverse life events and problems (e.g. divorce, job loss), and is common in the community. A depressive episode is differentiated from this com
---
[5] Cyclothymic disorder (6A62) — Essential Features: • Mood instability over an extended period of time (i.e. 2 years or more) characterized by numerous hypomanic and depressive periods is required for diagnosis. (In children and adolescents depressed m",,,,
